127.0.0.1 - - [15/Jun/2018:21:24:43 -0300] "GET / HTTP/1.1" 404 1074
127.0.0.1 - - [15/Jun/2018:21:24:45 -0300] "GET /Videos/ HTTP/1.1" 200 1924
127.0.0.1 - - [15/Jun/2018:21:24:45 -0300] "GET /Videos/js/scripts.js HTTP/1.1" 304 -
127.0.0.1 - - [15/Jun/2018:21:24:45 -0300] "GET /Videos/js/utils.js HTTP/1.1" 304 -
127.0.0.1 - - [15/Jun/2018:21:24:45 -0300] "GET /Videos/css/styles.css HTTP/1.1" 304 -
127.0.0.1 - - [15/Jun/2018:21:24:46 -0300] "GET /Videos/getvideos.jsp?string_busqueda=&categoria=9 HTTP/1.1" 200 825
127.0.0.1 - - [15/Jun/2018:21:25:04 -0300] "GET /Videos/ HTTP/1.1" 200 1924
127.0.0.1 - - [15/Jun/2018:21:25:04 -0300] "GET /Videos/js/jquery.js HTTP/1.1" 200 96381
127.0.0.1 - - [15/Jun/2018:21:25:04 -0300] "GET /Videos/js/scripts.js HTTP/1.1" 200 1296
127.0.0.1 - - [15/Jun/2018:21:25:04 -0300] "GET /Videos/js/utils.js HTTP/1.1" 200 1785
127.0.0.1 - - [15/Jun/2018:21:25:05 -0300] "GET /Videos/css/styles.css HTTP/1.1" 200 275
127.0.0.1 - - [15/Jun/2018:21:25:05 -0300] "GET /Videos/bootstrap.3.3.7/content/bootstrap.min.css HTTP/1.1" 200 121200
127.0.0.1 - - [15/Jun/2018:21:25:05 -0300] "GET /Videos/bootstrap.3.3.7/content/bootstrap-theme.min.css HTTP/1.1" 200 23409
127.0.0.1 - - [15/Jun/2018:21:25:05 -0300] "GET /Videos/bootstrap.3.3.7/Scripts/bootstrap.min.js HTTP/1.1" 200 37045
127.0.0.1 - - [15/Jun/2018:21:25:06 -0300] "GET /Videos/getvideos.jsp?string_busqueda=&categoria=9 HTTP/1.1" 200 825
127.0.0.1 - - [15/Jun/2018:21:25:06 -0300] "GET /favicon.ico HTTP/1.1" 404 1085
127.0.0.1 - - [15/Jun/2018:21:25:24 -0300] "GET /Videos/getvideos.jsp?string_busqueda=radiohead&categoria=9 HTTP/1.1" 200 501
127.0.0.1 - - [15/Jun/2018:21:25:28 -0300] "GET /Videos/getvideos.jsp?string_busqueda=&categoria=9 HTTP/1.1" 200 825
127.0.0.1 - - [15/Jun/2018:21:25:32 -0300] "GET /Videos/getvideos.jsp?string_busqueda=&categoria= HTTP/1.1" 200 5658
127.0.0.1 - - [15/Jun/2018:21:25:47 -0300] "GET /Videos/getvideos.jsp?string_busqueda=will&categoria= HTTP/1.1" 200 506
127.0.0.1 - - [15/Jun/2018:21:25:48 -0300] "POST /Videos/reproducir.jsp HTTP/1.1" 200 198
127.0.0.1 - - [15/Jun/2018:21:26:24 -0300] "GET /Videos/ HTTP/1.1" 200 1924
127.0.0.1 - - [15/Jun/2018:21:26:24 -0300] "GET /Videos/bootstrap.3.3.7/content/bootstrap.min.css HTTP/1.1" 200 121200
127.0.0.1 - - [15/Jun/2018:21:26:24 -0300] "GET /Videos/js/utils.js HTTP/1.1" 304 -
127.0.0.1 - - [15/Jun/2018:21:26:24 -0300] "GET /Videos/js/jquery.js HTTP/1.1" 304 -
127.0.0.1 - - [15/Jun/2018:21:26:24 -0300] "GET /Videos/js/scripts.js HTTP/1.1" 304 -
127.0.0.1 - - [15/Jun/2018:21:26:24 -0300] "GET /Videos/bootstrap.3.3.7/content/bootstrap-theme.min.css HTTP/1.1" 304 -
127.0.0.1 - - [15/Jun/2018:21:26:24 -0300] "GET /Videos/css/styles.css HTTP/1.1" 304 -
127.0.0.1 - - [15/Jun/2018:21:26:24 -0300] "GET /Videos/bootstrap.3.3.7/Scripts/bootstrap.min.js HTTP/1.1" 304 -
127.0.0.1 - - [15/Jun/2018:21:26:24 -0300] "GET /Videos/getvideos.jsp?string_busqueda=will&categoria= HTTP/1.1" 200 530
127.0.0.1 - - [15/Jun/2018:21:26:26 -0300] "POST /Videos/reproducir.jsp HTTP/1.1" 200 198
127.0.0.1 - - [15/Jun/2018:21:26:28 -0300] "GET /Videos/ HTTP/1.1" 200 1924
127.0.0.1 - - [15/Jun/2018:21:26:28 -0300] "GET /Videos/js/jquery.js HTTP/1.1" 304 -
127.0.0.1 - - [15/Jun/2018:21:26:28 -0300] "GET /Videos/bootstrap.3.3.7/content/bootstrap-theme.min.css HTTP/1.1" 304 -
127.0.0.1 - - [15/Jun/2018:21:26:28 -0300] "GET /Videos/bootstrap.3.3.7/content/bootstrap.min.css HTTP/1.1" 304 -
127.0.0.1 - - [15/Jun/2018:21:26:28 -0300] "GET /Videos/js/scripts.js HTTP/1.1" 304 -
127.0.0.1 - - [15/Jun/2018:21:26:28 -0300] "GET /Videos/css/styles.css HTTP/1.1" 304 -
